ozone,pm25
38,6.3
39,5.9
36,7.2
40,9.4
35,13.7
33,6.9
32,6.1
42,8.7
38,4.7
33,6.4
21,10.5
19,7.6
23,7.9
23,9.5
24,8.9
33,6.9
40,5.8
39,5.7
33,7.3
24,8.1
34,6.4
38,6.2
41,6.7
36,9.6
34,12
27,8.1
41,7.1
33,8.1
36,10.1
43,8.9
45,13.5
36,9.4
41,17.5
53,19.2
39,5.4
31,8.3
39,9.9
47,14.3
49,11.1
50,13.9
48,21.6
51,6.5
36,9
33,9.3
26,11
39,10
46,8.9
46,9.7
45,11.4
40,7.1
43,7.7
47,20.6
45,7
41,6.5
51,6.2
51,6.1
36,9.5
35,7.1
37,7.1
32,7.7
36,7.7
31,7.9
29,6.6
21,7.5
26,6.6
29,6.8
36,9.7
47,16.6
46,7.6
51,12.7
47,8.2
50,7.6
49,8
43,6.8
34,7.3
32,8.9
39,5.8
43,6.7
39,6.7
38,8.2
33,8.1
28,8.4
34,10
48,18.8
53,14.4
39,18.1
45,11.8
37,10.2
42,10.6
44,10.4
43,8.8
35,8.2
33,9.3
41,13.9
40,10.2
35,9.6
35,7
37,5.4
34,6.4
44,4.2
46,6.6
50,6
40,5
45,4.6
41,10.5
48,10.1
47,10.4
43,7
41,9.8
41,5.8
43,4.8
37,5.4
39,5.2
44,7.2
45,8.3
40,6.2
49,6.8
51,4.4
47,4.4
40,6.9
35,9
39,6.8
45,4.3
47,4.1
48,3.7
43,5.1
32,8.2
33,10.3
45,7.5
40,6.3
51,6.8
48,6.7
40,8.2
54,9.5
60,8.3
55,8.9
56,7
58,8.2
57,9.5
46,6.9
49,7.6
47,8.4
57,8.9
66,5.7
49,6.5
36,6.6
28,6.2
36,9.3
36,5.8
43,5.5
47,6.9
45,6.9
48,8.9
39,9.2
39,10.7
43,7.4
46,6.4
40,7.4
40,8.9
42,9.2
43,9.9
40,8.8
43,5.8
44,4.9
40,6.6
39,5.6
38,5.7
38,8.2
48,8.4
43,8.3
33,7.4
40,8.7
37,4.9
37,3.3
36,3.3
37,6.1
35,5.1
33,4.9
33,4.8
45,6.7
40,5.8
38,6.9
35,7.7
33,6.4
34,6.1
34,3.4
35,2.9
31,3.4
23,3.3
27,4.4
15,3.8
24,4.3
32,4.5
34,5.8
20,7.6
29,5.4
36,5.8
30,6.9
22,9.7
30,6.8
27,5.2
21,6.8
22,6.4
16,5.3
18,4.6
24,4.7
28,4.9
33,4.5
32,3.6
22,9.3
18,8.8
19,4.2
18,3.9
22,5.6
21,3.4
27,3.8
28,3.9
23,3.2
20,3.9
28,4.4
32,4.6
18,5.1
12,4.4
19,5.8
18,6.6
14,8.6
17,8.4
15,10.7
17,9
20,5.6
21,6.1
20,4.7
20,5.9
30,4.3
30,4.9
29,5.3
22,5.2
26,4.7
27,6
27,7.3
22,7.2
32,4.7
23,7.2
12,16.7
11,13.1
12,11.3
22,9.3
14,13
16,11.7
33,7.7
21,16
15,11.7
31,4.6
31,5
31,5.3
26,8.5
14,8.6
22,7.4
20,8.3
28,9.6
33,5.2
32,5.4
22,8.6
15,8.5
21,10.7
5,15.9
10,8.1
8,13.8
11,14.1
13,8.4
13,6.8
17,6.4
28,5.9
13,10.8
12,11
9,10.2
18,6.4
28,4
21,4.6
15,11.1
16,7.2
24,4.9
22,5.1
14,13.1
10,18.3
32,5.4
30,5
25,5.6
29,3.9
27,5.9
26,23.3
18,14
18,6.5
18,9.4
10,15.5
14,11.5
24,4.7
12,7.4
26,4.8
15,7.2
28,4.7
25,4.5
35,4.3
23,6.4
13,14.1
18,7.5
16,7.8
30,6.5
28,6.1
16,9.7
19,11.3
37,5
23,6.2
20,6.7
24,9.1
26,13.1
29,6.8
31,6.5
25,6.4
26,12.6
21,8.5
28,6
24,6.6
19,8.3
25,5.2
34,6.1
42,5.4
29,5.2
28,6.9
20,9
32,6.3
24,7.1
18,8.4
31,5.6
32,4.9
39,6.1
45,4.1
27,7
34,5.5
29,6.5
21,9.2
33,10.6
40,6.3
29,6
21,8.1
32,6.7
28,6.1
33,5.8
31,6.2
35,7.8
31,6.6
30,7
32,5.6
32,6.3
30,8.3
35,25.2
40,6.5
28,8.1
21,6.7
34,11.4
48,11.7
50,6.2
41,7.7
40,5.6
41,5.3
40,5.3
32,8.8
35,11
40,11.7
35,7.5
33,6.2
39,7
38,10.6
41,13.1
31,13.4
37,11.1
39,12.4
37,11
40,9.9
41,9.8
28,10.7
30,7.2
25,9.5
35,5.3
33,5.4
33,5.4
40,6.3
50,34.6
41,6.4
33,8.1
38,6.6
34,5.7
33,10.6
43,6.1
43,10.8
36,7.8
42,5.8
37,9.6
37,7.1
38,8
41,4.7
44,4.4
38,6.1
45,7.6
38,7.8
41,6.5
38,6
35,7.7
34,4.7
37,5.8
35,6.5
40,6.1
40,5.9
36,7.6
41,5.3
46,6.6
31,6.7
34,6.5
39,5.3
39,6
34,8.7
43,7.4
43,7.8
43,11.4
48,6.4
45,6.6
50,22.2
49,10.1
45,17.5
40,11
32,7.9
26,5.8
36,22.6
40,11.8
41,8.8
42,5.7
42,15.1
45,11.7
42,11.4
43,10.2
45,10.1
44,6
42,6.5
41,9
34,7.6
36,9
34,5.4
50,9.9
37,9.3
38,8.2
43,7.5
34,8.7
37,8.5
41,9.1
41,7
37,8.9
45,6.8
41,7.1
35,7.5
35,12.5
40,11.3
45,12.5
40,12.1
37,9.2
37,10.6
37,12.5
30,5.9
32,8.3
39,13.5
40,7.8
45,5.7
39,6.1
31,7.9
34,9.3
45,9.7
34,10.6
46,7.7
44,7.8
53,9.3
42,8.9
48,7.4
51,8.4
46,7.4
50,9.6
47,7.6
51,7.2
47,7.7
54,7.8
58,7.5
46,7.8
50,23.2
38,8.7
48,8.2
44,6.1
39,8.4
50,8
54,7
59,8.6
47,7.2
53,5.7
47,5.7
56,5.7
45,4.9
34,5.7
36,5.6
42,9.1
48,9
43,7.8
40,6.8
34,6.6
44,7.8
41,9.3
43,11.9
42,8.5
36,9.3
42,7.1
39,6.4
37,6.8
41,14.8
45,9.3
47,7.7
43,7.5
34,7.8
34,8
42,6.5
38,7.5
43,8
38,7.9
38,6
37,6
44,5.8
36,5.5
29,5.2
24,5
32,5.2
31,5.5
32,5.9
33,5.7
33,6
33,4.1
38,4.2
33,4.3
30,4.9
23,5.8
27,5.6
19,3.9
26,3.9
25,4.5
22,4.9
21,5.8
22,5.7
28,6
19,7.7
22,4.3
30,5.8
25,6
25,8
21,7.9
30,6.2
36,7.4
35,8.1
22,7
25,7.1
26,6.8
31,9.6
25,12.2
14,6.6
24,5.7
31,7.3
25,10.9
27,6.5
31,8.1
36,7.7
22,8.7
20,8.8
17,8.6
26,9
21,10.3
21,9.3
34,8.2
33,10.4
29,10
36,14.1
22,8.6
15,15.1
31,12.1
21,11.9
20,10.4
14,10.1
32,9.3
14,9.7
13,8.9
19,6.9
16,5.5
15,7
21,8.4
24,8.7
21,11.4
13,15.2
15,13.7
13,9.8
17,6.5
15,6.9
24,6.3
18,11.4
18,5.9
24,4.6
32,9.3
25,6
12,6.7
23,5.9
35,7.9
16,10.8
10,10.1
13,8.4
20,5
16,7.8
10,9
19,6.9
20,8.2
17,8.4
10,8.9
14,7
21,4.7
20,5.3
30,5.8
37,5.1
32,6.2
16,6.5
12,13.5
11,13.8
11,13
10,13.1
9,19.6
7,17.4
23,7
34,6.1
33,4.5
33,5.2
21,6.5
20,13.6
23,3.9
23,6.8
20,3.7
17,5.6
11,10.5
16,7.7
15,5.2
15,5.2
25,3.3
31,4.2
22,5.9
17,11.1
11,7.9
3,13.9
11,8.2
18,4.8
24,3.5
29,3.4
31,2.3
23,2.9
18,6.1
13,10.8
21,7.9
21,4.5
25,3.3
28,4.3
23,5.3
29,4.7
25,5.7
27,5.3
16,9.7
33,4.7
33,4
28,3.2
27,4.7
27,4.7
26,6
23,5.6
22,4.4
17,4
20,8.7
15,16.7
15,8.5
24,5.8
33,3.2
31,3.9
24,6.8
23,7.5
19,7.7
22,5.2
20,7.9
33,4.8
32,3.7
32,4.9
15,6.2
19,7
26,3.6
21,4.9
29,3.5
23,9.8
36,3.2
31,4.9
24,2.3
21,5
13,5.4
12,4.5
23,2.5
24,3.7
31,6.6
23,8
21,5.9
21,5.3
18,5.5
37,4.3
26,5.1
35,4.3
31,5.7
33,5.5
34,3.6
30,3.6
27,5.4
39,13.9
39,5.5
29,7
40,5.2
30,7.3
38,5.7
42,3.4
32,4.4
37,4.8
37,4.8
37,4
32,3.6
33,4.1
35,3.3
33,4.3
41,3.5
42,6
41,5.1
39,3.6
42,5.4
44,4.6
37,5.4
40,5.4
41,4.2
41,5.1
42,5.4
45,4.8
41,4.8
42,5.1
44,7.1
42,5.7
39,5.8
41,5
47,8.1
45,8.1
38,7.3
38,7.1
42,7.3
43,5.4
47,8.9
51,4.8
51,8.6
55,8.2
46,7.6
50,5.9
44,4.8
42,4.8
40,4.6
42,4.5
44,4.9
41,5.5
36,8.2
43,5.8
42,4.6
45,4.3
43,5.3
44,4.4
44,4.9
46,5.8
45,6.4
38,8.1
50,7.7
49,4.6
47,3.9
51,4.6
47,5.2
46,5.5
45,6.1
38,9.5
38,8.2
46,5.6
41,4.5
35,6.9
45,4.3
37,9
44,10.1
45,6.1
41,5.3
45,7.4
53,6
46,4
43,3.4
37,4.5
36,5.1
38,10.9
41,5.7
45,9
45,13
53,6.6
50,7.3
43,7.8
45,8.3
45,5.8
34,10.9
31,8
33,4.8
33,5.1
39,7.8
40,5.6
45,5.7
52,25.7
43,6.3
35,7.6
37,9.6
39,10.3
27,6.6
50,6.5
51,6.2
51,5.3
44,8.8
48,10.4
40,7.5
41,6.3
44,5.6
55,5
37,4.7
36,3.6
35,5.4
33,5.8
35,8.3
47,7.8
65,7.2
48,4.8
48,5.8
42,4.5
43,6.3
40,5.5
52,7.5
46,5.2
39,6.3
44,6.2
43,6.8
41,7.3
43,6.9
40,7.3
41,7.6
38,8.3
46,8.3
40,12.5
36,9.1
47,13.9
56,11.9
51,13.1
46,10.6
40,7.5
43,8.5
40,10.3
36,12.3
48,9.4
40,7.3
36,6.1
36,5
39,7.2
37,10.9
50,6.1
44,5.7
30,6.5
22,10.3
35,11
19,3.1
21,2.6
26,4.4
29,6.4
45,8
36,8.3
34,8.3
32,7.4
44,7.8
46,9.1
48,12.5
43,11.3
37,18.4
39,16.6
34,9.8
28,8.3
28,10
35,7.4
36,6.2
38,12.2
32,8.5
22,12.4
32,9.6
29,8.1
32,7.2
37,11.4
21,13.5
24,14.2
21,15.8
25,10.8
30,7.9
28,7.3
24,14.1
20,17.4
25,11.2
32,7.9
39,8.6
28,8.8
29,8.4
24,9.8
22,10.1
19,11.3
25,8.7
26,7.2
26,8.3
29,6.7
20,8.4
22,6.9
20,7.5
17,6.4
15,11
16,10.6
37,6.3
32,6.5
22,8.9
17,10.7
22,4.9
25,7.4
31,8.4
31,10.1
30,8.1
21,7.3
14,10.1
14,12.3
18,10
31,8.9
22,9.8
9,10.3
15,8.9
25,11.9
21,15.5
20,18.1
32,12.6
25,9.7
21,10.2
31,8.6
23,7.9
21,13.5
20,12.4
24,6.8
26,7
25,9.3
23,5.3
25,5.1
17,9.1
16,11.2
14,10.2
10,13.7
7,13.1
6,20.4
13,11.2
30,4.1
29,4.4
29,6.9
13,10.9
17,4.3
24,7
11,14.7
17,4.9
20,6.6
11,12.4
26,7.3
27,5.9
19,7.3
13,18.2
21,6
28,2.9
15,8.8
16,7.7
17,9.2
10,12
7,14.6
18,9.4
19,3.4
17,5.8
17,6.8
25,5.3
20,6.1
17,7.1
13,10.4
15,9.2
17,10.9
29,8.9
16,8
10,5.6
17,7.6
15,8.5
22,8.8
32,3.2
31,4.3
25,3.6
24,3.5
7,7.7
33,4.3
26,4.4
32,4
21,6.3
28,2.4
37,2.6
29,4.5
29,5.4
31,3.9
29,4.5
26,4.2
20,5.9
21,7
23,5
26,5.7
25,11.3
14,12.5
32,4.9
26,6.1
24,8.9
26,11.8
36,9.5
22,6.1
16,8.8
27,6.7
27,10.7
15,13.9
24,10.7
37,8.7
37,8.6
29,9.4
42,7
37,10.5
20,11.1
28,12.3
36,8.8
31,7.4
30,7.3
40,12.6
43,9.8
40,6.6
38,54.8
36,6.2
32,9.1
42,7.1
32,9
27,8.6
45,9.2
42,10.8
41,8
34,5.5
39,6.1
35,8
33,8.5
32,8.2
41,12.2
37,15.1
45,10.3
46,10.6
42,11.2
43,9.9
38,6.9
41,6.6
42,4.5
39,4.6
45,7.1
43,10
36,6.1
30,6.3
44,10.7
39,9.6
37,9.4
40,5.9
36,9.3
39,4.1
39,4.3
38,7
38,5.6
37,10.1
43,6.8
38,7.3
34,5.2
45,13.1
41,12.9
41,3.3
37,3.6
44,3.6
34,5.4
43,14.9
48,8.2
