pm25,temp
7.9,45.7
9.1,40.7
14.2,42.3
7.2,46.1
9.6,48.2
11.2,52.6
5.8,50.3
9.7,47.7
7.6,52.6
17.2,52
11.6,55.3
7.9,58.5
10.2,52.9
6.7,61
6.8,59.6
8.1,62.9
6.1,62.5
8.6,54.5
11,53.2
7.7,56.9
9.4,63.4
5.9,52.2
7.9,52.5
10.5,59
13,61.8
6.2,58.4
4.8,55.1
5.6,54.7
7,59.2
5.1,59.8
5.3,55.3
6.7,50.4
7,49.4
6.4,54
5.9,47.6
5.2,49.2
10.4,52.5
13,55.6
6,49.1
5.7,48.6
10.5,57.1
11.1,61.8
6.1,62.7
8.2,53.8
4.6,53.5
7.7,58
9.5,62.9
6.4,66.1
5.7,65.3
6.3,54.2
5.9,53.8
7.2,59
9.4,63.2
13.7,66.9
6.9,60.5
6.1,64.6
8.7,59.6
4.7,53.7
6.4,58.4
10.5,66.3
7.6,72.5
7.9,73.5
9.5,67.9
8.9,69.6
6.9,63.5
5.8,59.1
5.7,55.7
7.3,63.2
8.1,66.7
6.4,70.3
6.2,73
6.7,71.3
9.6,69.2
12,64.1
8.1,71.1
7.1,72.9
8.1,73.5
10.1,76.9
8.9,73.3
13.5,68.1
9.4,77.8
17.5,77
19.2,60.3
5.4,56.7
8.3,64.9
9.9,72.6
14.3,73.4
11.1,68.1
13.9,70.6
21.6,67.1
6.5,63.3
9,66.5
9.3,73.7
11,77.6
10,65
8.9,69.8
9.7,66.4
11.4,73.6
7.1,78
7.7,75.2
20.6,71.7
7,65.7
6.5,69.6
6.2,74.1
6.1,78.4
9.5,82.4
7.1,85.7
7.1,85
7.7,86.1
7.7,84.2
7.9,81
6.6,79.4
7.5,79.7
6.6,82.1
6.8,82.7
9.7,84.6
16.6,78.6
7.6,76.6
12.7,77.8
8.2,77.1
7.6,79.5
8,80.7
6.8,82
7.3,84.2
8.9,86.4
5.8,84.5
6.7,81.6
6.7,83.4
8.2,85.8
8.1,87.4
8.4,87.9
10,89.2
18.8,81.9
14.4,81.5
18.1,89.1
11.8,87.9
10.2,90.1
10.6,89.8
10.4,86.1
8.8,87.3
8.2,88.8
9.3,90.9
13.9,88.6
10.2,87.1
9.6,85.2
7,73.4
5.4,76.6
6.4,84.3
4.2,88.9
6.6,89.2
6,90.4
5,92.6
4.6,91.7
10.5,88.4
10.1,87.8
10.4,91.4
7,91.4
9.8,82.4
5.8,80.4
4.8,86
5.4,88.6
5.2,89.3
7.2,89.3
8.3,86.4
6.2,82.4
6.8,79.5
4.4,80.3
4.4,79.6
6.9,78.7
9,78.7
6.8,78.6
4.3,78.8
4.1,81.5
3.7,80
5.1,76.6
8.2,82.2
10.3,88.3
7.5,91.5
6.3,91.9
6.8,90.4
6.7,93.3
8.2,93.6
9.5,90.1
8.3,91.1
8.9,87.1
7,81.3
8.2,86.5
9.5,89.4
6.9,87.6
7.6,82.7
8.4,85.9
8.9,88.8
5.7,87.4
6.5,89.4
6.6,87
6.2,88.9
9.3,84.1
5.8,78.5
5.5,75.4
6.9,75.8
6.9,76.1
8.9,81.3
9.2,85.4
10.7,84.6
7.4,83.3
6.4,81.2
7.4,83.3
8.9,85.4
9.2,86.2
9.9,84
8.8,82.9
5.8,77.8
4.9,80.3
6.6,82.2
5.6,86.2
5.7,86
8.2,86.1
8.4,88
8.3,87.4
7.4,87.3
8.7,82.2
4.9,76.3
3.3,78
3.3,80.8
6.1,80.2
5.1,71.8
4.9,73.8
4.8,75.5
6.7,78.2
5.8,81.2
6.9,81
7.7,83.2
6.4,84
6.1,82.6
3.4,80.5
2.9,78.4
3.4,79.5
3.3,79.8
